Borough,Neighborhood,ID,Name
Brooklyn,Bedford Stuyvesant,5b93f64b598e64002c8a81bf,Petisco Brazuca
Manhattan,Greenwich Village,4a5b5143f964a520fdba1fe3,Berimbau do Brasil
Manhattan,West Village,3fd66200f964a52008e71ee3,Casa
Manhattan,West Village,4a5b5143f964a520fdba1fe3,Berimbau do Brasil
Queens,Astoria,4bdf502a89ca76b062b75d5e,Favela Grill
Queens,Long Island City,5338a897498e1b9bc410d5d1,Beija Flor
Queens,East Elmhurst,4f0b6fb3e4b07c79f8f42d61,Rainhas Churrascaria
Queens,Steinway,58d6aa0898f8aa0d67c21411,Kilo
Queens,Rockaway Beach,5554b037498e2fc87369fe8a,The Summer Shift by The MP Shift
Queens,Ravenswood,4b6dbc02f964a520c98a2ce3,New York P̣o de Queijo
Queens,Ravenswood,4c4f33b824edc9b633ab4ebb,Copacabana Brazilian Restaurant
Queens,Ravenswood,5338a897498e1b9bc410d5d1,Beija Flor
Queens,North Corona,4f0b6fb3e4b07c79f8f42d61,Rainhas Churrascaria
Manhattan,Stuyvesant Town,458d06def964a520ff3f1fe3,Esperanto
